distance,consume,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip,trip_in_hours,avg_speed
28.0,5.0,21.5,12,E10,0,0,0,9.5,1.4,2.863,0.43333333333333335,64.61538461538461
12.0,4.2,21.5,13,E10,0,0,0,8.5,0.504,1.031,0.5,24.0
11.2,5.5,21.5,15,E10,0,0,0,6.5,0.616,1.26,0.6333333333333333,17.684210526315788
12.9,3.9,21.5,14,E10,0,0,0,7.5,0.5031,1.029,0.6,21.5
18.5,4.5,21.5,15,E10,0,0,0,6.5,0.8325,1.702,0.7666666666666667,24.130434782608695
8.3,6.4,21.5,10,E10,0,0,0,11.5,0.5312,1.086,0.8333333333333334,9.96
7.8,4.4,21.5,11,E10,0,0,0,10.5,0.3432,0.702,0.7166666666666667,10.883720930232558
12.3,5.0,21.5,6,E10,0,0,0,15.5,0.615,1.258,0.6666666666666666,18.450000000000003
4.9,6.4,21.5,4,E10,0,0,0,17.5,0.31360000000000005,0.641,0.43333333333333335,11.307692307692308
11.9,5.3,21.5,9,E10,0,0,0,12.5,0.6307,1.29,0.5,23.8
12.4,5.6,21.5,4,E10,0,0,0,17.5,0.6944,1.42,0.7,17.714285714285715
11.8,4.6,21.5,0,E10,0,0,0,21.5,0.5428000000000001,1.11,0.6333333333333333,18.631578947368425
12.3,5.9,21.5,10,E10,0,0,0,11.5,0.7257000000000001,1.484,0.9833333333333333,12.508474576271189
24.7,5.1,21.5,12,E10,0,0,0,9.5,1.2596999999999998,2.576,0.9666666666666667,25.551724137931032
12.4,4.7,21.5,11,E10,0,0,0,10.5,0.5828,1.192,0.7666666666666667,16.17391304347826
17.3,5.1,21.5,5,E10,0,0,0,16.5,0.8823000000000001,1.804,0.4,43.25
33.4,5.6,21.5,3,E10,0,0,0,18.5,1.8703999999999998,3.825,0.6,55.666666666666664
11.8,5.1,21.5,3,E10,0,0,0,18.5,0.6018,1.231,0.5333333333333333,22.125
25.9,4.9,21.5,8,E10,0,0,0,13.5,1.2691,2.595,0.65,39.84615384615384
11.8,4.7,21.5,4,E10,0,0,0,17.5,0.5546000000000001,1.134,0.6666666666666666,17.700000000000003
25.3,5.5,21.5,3,E10,0,0,0,18.5,1.3915,2.846,0.5333333333333333,47.4375
14.2,5.9,21.5,1,E10,0,0,0,20.5,0.8378,1.713,0.6333333333333333,22.42105263157895
17.9,5.7,21.5,1,E10,0,0,0,20.5,1.0203,2.087,0.6166666666666667,29.027027027027025
11.8,4.7,21.5,1,E10,0,0,0,20.5,0.5546000000000001,1.134,0.6,19.666666666666668
12.3,5.9,21.5,6,E10,0,0,0,15.5,0.7257000000000001,1.484,1.0333333333333334,11.903225806451612
12.4,4.1,21.5,9,E10,0,0,0,12.5,0.5084,1.04,0.95,13.05263157894737
18.4,5.7,22.5,2,E10,0,0,0,20.5,1.0488,2.145,0.35,52.57142857142857
18.4,5.8,21.5,3,E10,0,0,0,18.5,1.0672,2.182,0.4666666666666667,39.42857142857142
18.3,5.5,21.5,1,E10,0,0,0,20.5,1.0065,2.058,0.48333333333333334,37.862068965517246
18.4,5.7,21.5,4,E10,0,0,0,17.5,1.0488,2.145,0.5833333333333334,31.542857142857137
12.3,5.3,21.5,11,E10,0,0,0,10.5,0.6518999999999999,1.333,0.85,14.47058823529412
11.8,5.0,21.5,10,E10,0,0,0,11.5,0.59,1.207,0.48333333333333334,24.413793103448278
12.3,5.6,21.5,8,E10,0,0,0,13.5,0.6888,1.409,0.9666666666666667,12.724137931034484
32.6,4.8,21.5,7,E10,0,0,0,14.5,1.5648,3.2,0.6666666666666666,48.900000000000006
19.0,4.3,21.5,7,E10,0,0,0,14.5,0.8170000000000001,1.671,0.6,31.666666666666668
12.1,5.7,21.5,8,E10,0,0,0,13.5,0.6897,1.41,0.6,20.166666666666668
20.0,5.2,21.5,4,E10,0,0,0,17.5,1.04,2.127,0.6166666666666667,32.43243243243243
4.9,7.4,21.5,6,E10,0,0,0,15.5,0.36260000000000003,0.742,0.43333333333333335,11.307692307692308
11.8,4.8,21.5,9,E10,0,0,0,12.5,0.5664,1.158,0.38333333333333336,30.782608695652172
12.3,6.5,21.5,7,E10,0,0,0,14.5,0.7995,1.635,0.9666666666666667,12.724137931034484
12.4,4.0,21.5,7,E10,1,1,0,14.5,0.496,1.014,0.9166666666666666,13.527272727272727
4.5,5.0,21.5,7,E10,1,0,0,14.5,0.225,0.46,0.48333333333333334,9.310344827586206
11.7,4.6,21.5,6,E10,0,0,0,15.5,0.5381999999999999,1.101,0.6166666666666667,18.972972972972972
10.2,4.3,21.5,7,E10,0,0,0,14.5,0.43859999999999993,0.897,0.7333333333333333,13.909090909090908
5.4,3.3,21.5,7,SP98,0,0,0,14.5,0.1782,0.353,0.5333333333333333,10.125
2.0,9.9,21.5,4,SP98,0,0,0,17.5,0.198,0.392,0.35,5.714285714285714
14.2,5.1,21.5,7,SP98,0,0,0,14.5,0.7241999999999998,1.434,0.5333333333333333,26.625
16.0,4.9,21.5,8,SP98,0,0,0,13.5,0.784,1.552,0.4166666666666667,38.4
11.8,4.9,21.5,11,SP98,0,0,0,10.5,0.5782,1.145,0.4166666666666667,28.32
27.3,4.7,21.5,10,SP98,0,0,0,11.5,1.2831000000000001,2.541,0.6,45.5
11.8,5.1,21.5,5,SP98,0,1,0,16.5,0.6018,1.192,0.48333333333333334,24.413793103448278
10.6,4.9,21.5,6,SP98,0,0,0,15.5,0.5194000000000001,1.028,1.05,10.095238095238095
11.6,4.2,21.5,7,SP98,0,0,0,14.5,0.48719999999999997,0.965,1.0166666666666666,11.40983606557377
13.1,6.1,21.5,6,SP98,0,1,0,15.5,0.7990999999999999,1.582,0.7666666666666667,17.08695652173913
6.1,6.4,21.5,8,SP98,0,0,0,13.5,0.39039999999999997,0.773,0.4666666666666667,13.071428571428571
153.5,4.9,21.5,3,SP98,0,1,0,18.5,7.5215000000000005,14.893,1.3666666666666667,112.3170731707317
11.8,4.9,21.5,7,SP98,0,0,0,14.5,0.5782,1.145,0.4,29.5
12.3,6.2,21.5,8,SP98,0,0,0,13.5,0.7626000000000001,1.51,1.0166666666666666,12.098360655737705
12.4,4.2,21.5,8,SP98,0,0,0,13.5,0.5208,1.031,0.95,13.05263157894737
12.3,5.7,21.5,8,SP98,0,1,0,13.5,0.7011,1.388,0.8666666666666667,14.192307692307693
2.9,7.9,21.5,9,SP98,1,1,0,12.5,0.2291,0.454,0.3,9.666666666666666
2.1,12.2,21.5,9,SP98,1,1,0,12.5,0.2562,0.507,0.38333333333333336,5.478260869565217
9.8,5.8,21.5,6,SP98,0,0,0,15.5,0.5684,1.125,0.4,24.5
6.8,5.3,21.5,6,SP98,0,0,0,15.5,0.3604,0.714,0.43333333333333335,15.692307692307692
12.4,5.4,21.5,7,SP98,0,0,0,14.5,0.6696000000000001,1.326,0.4,31.0
12.4,4.7,21.5,8,SP98,0,0,0,13.5,0.5828,1.154,0.95,13.05263157894737
11.8,4.6,21.5,6,SP98,0,0,0,15.5,0.5428000000000001,1.075,0.6833333333333333,17.26829268292683
12.3,5.4,21.5,8,SP98,0,0,0,13.5,0.6642,1.315,0.9166666666666666,13.41818181818182
14.0,4.3,21.5,8,SP98,0,0,0,13.5,0.602,1.192,0.6666666666666666,21.0
11.8,4.5,21.5,4,SP98,1,0,0,17.5,0.531,1.051,0.6166666666666667,19.135135135135137
12.3,5.2,21.5,12,SP98,0,0,0,9.5,0.6396000000000001,1.266,0.9166666666666666,13.41818181818182
2.0,6.2,21.5,10,SP98,0,0,0,11.5,0.124,0.246,0.3333333333333333,6.0
13.9,5.1,21.5,6,SP98,0,0,0,15.5,0.7089,1.404,0.48333333333333334,28.758620689655174
9.7,3.9,21.5,8,SP98,0,0,0,13.5,0.37829999999999997,0.749,0.7,13.857142857142858
11.6,5.0,21.5,6,SP98,0,0,0,15.5,0.58,1.148,0.4166666666666667,27.839999999999996
14.2,5.4,21.5,7,SP98,0,0,0,14.5,0.7668,1.518,0.6333333333333333,22.42105263157895
11.8,4.5,21.5,6,SP98,0,0,0,15.5,0.531,1.051,0.65,18.153846153846153
24.8,5.1,21.5,9,SP98,0,0,0,12.5,1.2648,2.504,0.8333333333333334,29.759999999999998
12.4,4.7,21.5,7,SP98,0,0,0,14.5,0.5828,1.154,0.9333333333333333,13.285714285714286
34.8,4.0,20.0,4,SP98,0,0,0,16.0,1.392,2.756,0.4666666666666667,74.57142857142857
14.2,5.4,20.0,6,SP98,0,0,0,14.0,0.7668,1.518,0.6,23.666666666666668
5.2,4.5,20.0,10,SP98,0,0,0,10.0,0.234,0.463,0.65,8.0
10.5,3.6,20.0,10,SP98,0,0,0,10.0,0.37800000000000006,0.748,0.7,15.000000000000002
12.3,5.2,20.0,10,SP98,0,0,0,10.0,0.6396000000000001,1.266,0.95,12.947368421052634
11.8,4.9,20.0,11,SP98,0,0,0,9.0,0.5782,1.145,0.4166666666666667,28.32
12.3,6.2,20.0,11,SP98,0,1,0,9.0,0.7626000000000001,1.51,0.9666666666666667,12.724137931034484
13.2,4.3,20.0,11,SP98,0,1,0,9.0,0.5676,1.124,0.85,15.529411764705882
13.0,5.0,20.0,11,SP98,0,1,0,9.0,0.65,1.287,0.75,17.333333333333332
12.9,5.1,20.0,11,SP98,0,0,0,9.0,0.6578999999999999,1.303,0.5333333333333333,24.1875
13.9,5.6,20.0,8,SP98,0,0,0,12.0,0.7784,1.541,0.36666666666666664,37.909090909090914
11.8,4.3,20.0,6,SP98,0,0,0,14.0,0.5074000000000001,1.005,0.6166666666666667,19.135135135135137
12.2,5.8,20.0,11,SP98,0,0,0,9.0,0.7075999999999999,1.401,1.0,12.2
12.5,4.0,20.0,13,SP98,0,0,0,7.0,0.5,0.99,0.85,14.705882352941178
12.4,4.7,22.0,10,SP98,0,0,0,12.0,0.5828,1.154,0.7166666666666667,17.302325581395348
11.8,5.9,20.0,9,SP98,1,1,0,11.0,0.6962,1.378,0.35,33.714285714285715
11.8,5.3,22.0,11,SP98,0,0,0,11.0,0.6254,1.238,0.8666666666666667,13.615384615384615
12.5,4.2,20.0,11,SP98,0,0,0,9.0,0.525,1.04,0.95,13.157894736842106
15.7,5.3,22.0,9,SP98,0,0,0,13.0,0.8321,1.648,0.55,28.545454545454543
12.9,5.7,22.0,9,SP98,0,0,0,13.0,0.7353000000000001,1.456,0.5833333333333334,22.114285714285714
6.4,4.4,22.0,10,SP98,0,0,0,12.0,0.2816,0.558,0.6166666666666667,10.378378378378379
5.3,4.1,22.0,9,SP98,0,0,0,13.0,0.21729999999999997,0.43,0.5666666666666667,9.352941176470589
26.2,5.8,21.0,8,SP98,1,1,0,13.0,1.5195999999999998,3.009,1.1833333333333333,22.140845070422536
18.8,5.0,22.0,9,SP98,0,1,0,13.0,0.94,1.861,1.0333333333333334,18.193548387096772
4.9,6.9,21.0,12,SP98,0,1,0,9.0,0.3381,0.669,0.4166666666666667,11.76
12.4,5.4,21.0,11,SP98,1,1,0,10.0,0.6696000000000001,1.326,0.3,41.333333333333336
22.9,5.3,20.5,7,SP98,0,0,0,13.5,1.2137,2.403,0.75,30.53333333333333
162.7,5.5,23.0,1,SP98,0,0,0,22.0,8.9485,17.718,1.25,130.16
4.9,6.5,21.0,1,SP98,0,0,0,20.0,0.3185,0.631,0.43333333333333335,11.307692307692308
11.8,4.7,21.0,4,SP98,0,0,0,17.0,0.5546000000000001,1.098,0.6,19.666666666666668
16.6,5.1,21.0,7,SP98,0,0,0,14.0,0.8466,1.676,0.9333333333333333,17.78571428571429
12.4,5.7,21.0,7,SP98,0,0,0,14.0,0.7068000000000001,1.399,0.6166666666666667,20.10810810810811
15.9,5.4,21.0,7,SP98,0,0,0,14.0,0.8586000000000001,1.7,0.4166666666666667,38.16
5.1,8.7,23.5,5,SP98,0,0,0,18.5,0.44369999999999993,0.879,0.35,14.571428571428571
22.4,4.9,20.5,7,SP98,0,0,0,13.5,1.0976000000000001,2.173,1.1,20.36363636363636
31.1,4.7,20.5,7,SP98,0,0,0,13.5,1.4617000000000002,2.894,0.7,44.42857142857143
4.9,6.3,20.5,3,SP98,0,0,0,17.5,0.30870000000000003,0.611,0.45,10.88888888888889
11.8,5.1,23.0,4,SP98,0,1,0,19.0,0.6018,1.192,0.43333333333333335,27.23076923076923
22.9,6.0,23.0,4,SP98,0,1,0,19.0,1.3739999999999997,2.721,0.7,32.714285714285715
12.4,4.6,23.0,1,SP98,0,1,0,22.0,0.5704,1.129,0.6333333333333333,19.578947368421055
12.9,5.8,23.0,4,SP98,0,0,0,19.0,0.7482,1.481,0.6666666666666666,19.35
11.8,5.1,23.0,0,SP98,0,0,0,23.0,0.6018,1.192,0.7166666666666667,16.46511627906977
12.2,5.8,23.0,2,SP98,0,0,0,21.0,0.7075999999999999,1.401,0.9666666666666667,12.620689655172413
24.8,4.6,23.0,3,SP98,0,0,0,20.0,1.1408,2.259,0.9166666666666666,27.054545454545455
14.2,5.6,23.0,8,SP98,0,0,0,15.0,0.7951999999999999,1.574,0.4,35.49999999999999
11.8,4.6,23.0,0,SP98,0,1,0,23.0,0.5428000000000001,1.075,0.6333333333333333,18.631578947368425
12.2,6.3,23.0,0,SP98,0,1,0,23.0,0.7686,1.522,0.95,12.842105263157894
24.7,5.5,25.0,1,SP98,0,0,0,24.0,1.3585,2.69,0.9333333333333333,26.46428571428571
6.8,4.3,24.0,2,SP98,0,0,0,22.0,0.2924,0.579,0.7666666666666667,8.869565217391303
17.3,5.6,21.5,1,SP98,0,0,0,20.5,0.9688,1.918,0.6166666666666667,28.054054054054053
11.8,4.3,21.5,-3,SP98,0,0,0,24.5,0.5074000000000001,1.005,0.7333333333333333,16.090909090909093
15.9,5.7,21.5,5,SP98,0,0,0,16.5,0.9063000000000001,1.794,0.7666666666666667,20.73913043478261
5.1,6.4,21.5,4,SP98,0,0,0,17.5,0.3264,0.646,0.65,7.846153846153845
16.1,4.5,21.5,6,SP98,0,0,0,15.5,0.7245,1.435,0.55,29.272727272727273
11.8,4.5,21.5,3,SP98,0,0,0,18.5,0.531,1.051,0.7166666666666667,16.46511627906977
4.2,6.0,21.5,5,SP98,0,0,0,16.5,0.252,0.499,0.43333333333333335,9.692307692307692
17.4,5.1,21.5,5,SP98,0,0,0,16.5,0.8873999999999999,1.757,0.5,34.8
23.5,6.0,21.5,5,SP98,0,1,0,16.5,1.41,2.792,0.4166666666666667,56.4
11.8,4.5,21.5,5,SP98,0,1,0,16.5,0.531,1.051,0.6333333333333333,18.631578947368425
12.3,6.1,21.5,10,SP98,0,1,0,11.5,0.7503,1.486,1.0166666666666666,12.098360655737705
16.1,5.4,21.5,7,E10,0,1,0,14.5,0.8694000000000002,1.778,0.4,40.25
11.8,4.3,21.5,10,E10,0,1,0,11.5,0.5074000000000001,1.038,0.6666666666666666,17.700000000000003
12.3,5.4,21.5,13,E10,0,0,0,8.5,0.6642,1.358,0.9666666666666667,12.724137931034484
12.4,4.3,21.5,17,E10,0,0,0,4.5,0.5332,1.09,0.8166666666666667,15.183673469387756
7.0,5.2,21.5,17,E10,0,0,0,4.5,0.364,0.744,0.4166666666666667,16.8
11.8,4.1,21.5,10,E10,0,0,0,11.5,0.48379999999999995,0.989,0.6166666666666667,19.135135135135137
20.1,4.4,21.5,18,E10,0,0,0,3.5,0.8844000000000001,1.809,0.6833333333333333,29.414634146341466
20.8,4.5,21.5,10,E10,0,0,0,11.5,0.936,1.914,0.75,27.733333333333334
1.7,10.8,21.5,10,E10,0,1,0,11.5,0.18359999999999999,0.375,0.23333333333333334,7.285714285714286
35.9,4.7,21.5,12,E10,0,0,0,9.5,1.6872999999999998,3.451,0.75,47.86666666666667
36.9,4.8,21.5,5,E10,0,0,0,16.5,1.7711999999999997,3.622,0.8666666666666667,42.57692307692307
16.8,4.0,21.5,8,E10,0,0,0,13.5,0.672,1.374,0.7666666666666667,21.913043478260867
9.9,5.0,21.5,9,E10,0,0,0,12.5,0.495,1.012,0.4666666666666667,21.214285714285715
22.9,4.6,21.5,7,E10,0,1,0,14.5,1.0534,2.154,1.0166666666666666,22.524590163934427
17.3,5.0,21.5,6,E10,1,1,0,15.5,0.865,1.769,1.0166666666666666,17.016393442622952
11.8,4.3,21.5,7,E10,0,0,0,14.5,0.5074000000000001,1.038,0.6166666666666667,19.135135135135137
36.6,5.2,21.5,7,E10,0,1,0,14.5,1.9032000000000002,3.892,1.3333333333333333,27.450000000000003
44.9,4.7,21.5,8,E10,0,0,0,13.5,2.1103,4.316,1.0333333333333334,43.4516129032258
11.8,4.2,21.5,9,E10,0,1,0,12.5,0.49560000000000004,1.014,0.5666666666666667,20.823529411764707
21.6,5.3,21.5,9,E10,0,1,0,12.5,1.1448,2.341,0.7333333333333333,29.454545454545457
39.4,5.3,21.5,9,E10,0,1,0,12.5,2.0882,4.27,1.0,39.4
5.1,8.1,21.5,4,E10,0,0,0,17.5,0.41309999999999997,0.845,0.65,7.846153846153845
26.6,4.8,21.5,7,E10,0,0,0,14.5,1.2768000000000002,2.611,0.6333333333333333,42.00000000000001
53.2,5.1,21.5,2,E10,0,0,0,19.5,2.7132,5.548,1.1833333333333333,44.95774647887324
18.9,4.4,21.5,2,E10,0,0,0,19.5,0.8316,1.701,0.8833333333333333,21.39622641509434
43.5,5.0,21.5,3,E10,0,0,0,18.5,2.175,4.448,1.3333333333333333,32.625
6.1,6.3,21.5,5,E10,0,0,0,16.5,0.3843,0.786,0.43333333333333335,14.076923076923075
16.4,4.8,21.5,5,E10,0,0,0,16.5,0.7871999999999999,1.61,0.8166666666666667,20.081632653061224
12.3,6.1,21.5,6,E10,0,0,0,15.5,0.7503,1.534,0.6666666666666666,18.450000000000003
21.1,4.6,21.5,8,E10,0,0,0,13.5,0.9706,1.985,0.6,35.16666666666667
21.1,4.8,21.5,7,E10,0,0,0,14.5,1.0128,2.071,0.7166666666666667,29.44186046511628
22.7,4.7,21.5,6,E10,0,0,0,15.5,1.0669,2.182,0.9166666666666666,24.763636363636365
44.4,4.8,21.5,8,E10,0,0,0,13.5,2.1311999999999998,4.358,0.6333333333333333,70.10526315789474
35.8,4.4,21.5,6,E10,0,0,0,15.5,1.5752000000000002,3.221,0.85,42.11764705882353
11.8,4.9,21.5,0,E10,0,0,0,21.5,0.5782,1.182,0.7333333333333333,16.090909090909093
26.2,4.9,21.5,6,E10,0,0,0,15.5,1.2838,2.625,0.7,37.42857142857143
40.6,4.4,21.0,3,E10,0,0,0,18.0,1.7864000000000002,3.653,0.7333333333333333,55.36363636363637
12.4,5.3,21.0,-5,E10,0,0,0,26.0,0.6572,1.344,0.6333333333333333,19.578947368421055
14.1,5.3,21.0,-3,E10,0,0,0,24.0,0.7472999999999999,1.528,0.7833333333333333,18.0
58.7,4.8,21.0,0,E10,0,0,0,21.0,2.8176,5.762,1.25,46.96
16.2,5.2,21.0,0,E10,0,0,0,21.0,0.8423999999999999,1.723,0.48333333333333334,33.51724137931034
12.3,4.9,22.5,0,E10,0,0,0,22.5,0.6027000000000001,1.233,0.8333333333333334,14.76
12.3,7.1,22.5,0,E10,1,1,0,22.5,0.8733,1.786,0.8666666666666667,14.192307692307693
12.4,5.2,22.5,1,E10,0,0,0,21.5,0.6448,1.319,0.85,14.588235294117649
31.8,4.7,22.5,3,E10,0,0,0,19.5,1.4946000000000002,3.056,0.9833333333333333,32.33898305084746
12.3,5.1,22.5,8,E10,0,0,0,14.5,0.6273,1.283,0.9166666666666666,13.41818181818182
51.6,5.0,22.5,12,E10,0,0,0,10.5,2.58,5.276,1.2166666666666666,42.41095890410959
38.6,4.6,22.5,10,E10,0,0,0,12.5,1.7756,3.631,0.7333333333333333,52.63636363636364
12.3,4.8,22.5,7,E10,0,0,0,15.5,0.5904,1.207,0.6833333333333333,18.0
81.2,4.4,22.0,13,E10,0,0,0,9.0,3.5728000000000004,7.306,1.15,70.60869565217392
130.3,4.6,22.0,12,E10,0,0,0,10.0,5.9938,12.257,1.4166666666666667,91.9764705882353
67.2,4.3,22.0,18,E10,0,0,0,4.0,2.8895999999999997,5.909,1.1166666666666667,60.17910447761194
